"Step","lemon-disco-5 - train/loss","lemon-disco-5 - train/loss__MIN","lemon-disco-5 - train/loss__MAX"
"591","1.7507","1.7507","1.7507"
"592","1.6708","1.6708","1.6708"
"593","1.6708","1.6708","1.6708"
"594","1.6626","1.6626","1.6626"
"595","1.6626","1.6626","1.6626"
"596","1.696","1.696","1.696"
"597","1.696","1.696","1.696"
"598","1.6512","1.6512","1.6512"
"599","1.6512","1.6512","1.6512"
"600","1.7598","1.7598","1.7598"
"601","1.7598","1.7598","1.7598"
"602","1.6111","1.6111","1.6111"
"603","1.6111","1.6111","1.6111"
"604","1.7352","1.7352","1.7352"
"605","1.7352","1.7352","1.7352"
"606","1.6674","1.6674","1.6674"
"607","1.6674","1.6674","1.6674"
"608","1.7358","1.7358","1.7358"
"609","1.7358","1.7358","1.7358"
"610","1.7181","1.7181","1.7181"
"611","1.7181","1.7181","1.7181"
"612","1.7745","1.7745","1.7745"
"613","1.7745","1.7745","1.7745"
"614","1.673","1.673","1.673"
"615","1.673","1.673","1.673"
"616","1.7204","1.7204","1.7204"
"617","1.7204","1.7204","1.7204"
"618","1.6716","1.6716","1.6716"
"619","1.6716","1.6716","1.6716"
"620","1.7392","1.7392","1.7392"
"621","1.7392","1.7392","1.7392"
"622","1.6851","1.6851","1.6851"
"623","1.6851","1.6851","1.6851"
"624","1.7175","1.7175","1.7175"
"625","1.7175","1.7175","1.7175"
"626","1.6318","1.6318","1.6318"
"627","1.6318","1.6318","1.6318"
"628","1.652","1.652","1.652"
"629","1.652","1.652","1.652"
"630","1.5607","1.5607","1.5607"
"631","1.5607","1.5607","1.5607"
"632","1.6648","1.6648","1.6648"
"633","1.6648","1.6648","1.6648"
"634","1.7136","1.7136","1.7136"
"635","1.7136","1.7136","1.7136"
"636","1.6437","1.6437","1.6437"
"637","1.6437","1.6437","1.6437"
"638","1.586","1.586","1.586"
"639","1.586","1.586","1.586"
"640","1.5903","1.5903","1.5903"
"641","1.5903","1.5903","1.5903"
"642","1.4768","1.4768","1.4768"
"643","1.4768","1.4768","1.4768"
"644","1.6004","1.6004","1.6004"
"645","1.6004","1.6004","1.6004"
"646","1.6018","1.6018","1.6018"
"647","1.6018","1.6018","1.6018"
"648","1.595","1.595","1.595"
"649","1.595","1.595","1.595"
"650","1.5999","1.5999","1.5999"
"651","1.5999","1.5999","1.5999"
"652","1.5017","1.5017","1.5017"
"653","1.5017","1.5017","1.5017"
"654","1.6564","1.6564","1.6564"
"655","1.6564","1.6564","1.6564"
"656","1.7284","1.7284","1.7284"
"657","1.7284","1.7284","1.7284"
"658","1.615","1.615","1.615"
"659","1.615","1.615","1.615"
"660","1.6983","1.6983","1.6983"
"661","1.6983","1.6983","1.6983"
"662","1.7812","1.7812","1.7812"
"663","1.7812","1.7812","1.7812"
"664","1.4888","1.4888","1.4888"
"665","1.4888","1.4888","1.4888"
"666","1.7114","1.7114","1.7114"
"667","1.7114","1.7114","1.7114"
"668","1.54","1.54","1.54"
"669","1.54","1.54","1.54"
"670","1.5596","1.5596","1.5596"
"671","1.5596","1.5596","1.5596"
"672","1.7346","1.7346","1.7346"
"673","1.7346","1.7346","1.7346"
"674","1.7012","1.7012","1.7012"
"675","1.7012","1.7012","1.7012"
"676","1.4458","1.4458","1.4458"
"677","1.4458","1.4458","1.4458"
"678","1.5429","1.5429","1.5429"
"679","1.5429","1.5429","1.5429"
"680","1.7393","1.7393","1.7393"
"681","1.7393","1.7393","1.7393"
"682","1.5653","1.5653","1.5653"
"683","1.5653","1.5653","1.5653"
"684","1.5153","1.5153","1.5153"
"685","1.5153","1.5153","1.5153"
"686","1.6838","1.6838","1.6838"
"687","1.6838","1.6838","1.6838"
"688","1.745","1.745","1.745"
"689","1.745","1.745","1.745"
"690","1.5797","1.5797","1.5797"
"691","1.5797","1.5797","1.5797"
